Model,accuracy,precision,recall,f1_score
Random Forest,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0
Logistic Regression,1.0,1.0,1.0,1.0
VotingClassifier,1.0,1.0,1.0,1.0
StackingClassifier,1.0,1.0,1.0,1.0
